transaction_id,user_id,amount,merchant_id,actual_location,timestamp,device_type,transactions_last_10min,time_since_last_txn_min,amount_deviation_ratio,device_change_flag,location_change_flag,anomaly_score,risk_level,rule_triggered,final_decision
TXN_00050,USER_061,3681.78,MERCH_20,Chennai,24-12-2025 08:50,web,4,143,1.16,0,0,0.176373961,LOW,NONE,APPROVED
TXN_00051,USER_008,17296.07,MERCH_24,Hyderabad,24-12-2025 09:22,web,10,175,7.97,1,0,-0.153277275,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, NEW_DEVICE_HIGH_AMOUNT",FLAGGED
TXN_00052,USER_030,2716.51,MERCH_13,Kolkata,21-12-2025 07:56,mobile,3,89,1.15,0,0,0.195318101,LOW,NONE,APPROVED
TXN_00053,USER_001,1422.15,MERCH_13,Delhi,21-12-2025 10:05,atm,2,132,0.85,1,0,0.101149816,LOW,NONE,APPROVED
TXN_00054,USER_030,1628.9,MERCH_40,Kolkata,21-12-2025 09:06,mobile,3,70,0.69,0,0,0.195164412,LOW,NONE,APPROVED
TXN_00055,USER_064,3268.14,MERCH_10,Chennai,22-12-2025 09:34,web,1,60,1.36,0,0,0.163874846,LOW,NONE,APPROVED
TXN_00056,USER_119,2027.81,MERCH_04,Pune,24-12-2025 07:30,web,4,57,0.64,1,0,0.076888257,LOW,NONE,APPROVED
TXN_00057,USER_024,2128.15,MERCH_22,Hyderabad,22-12-2025 07:50,atm,1,83,1.35,0,0,0.173618062,LOW,NONE,APPROVED
TXN_00058,USER_025,1010.43,MERCH_25,Mumbai,20-12-2025 11:23,atm,1,137,0.85,0,0,0.177133295,LOW,NONE,APPROVED
TXN_00059,USER_108,1163.13,MERCH_18,Chennai,24-12-2025 07:54,web,1,87,0.6,0,0,0.133096661,LOW,NONE,APPROVED
TXN_00060,USER_011,893.81,MERCH_20,Kolkata,23-12-2025 07:01,web,2,34,0.9,0,0,0.175865056,LOW,NONE,APPROVED
TXN_00061,USER_106,1355.71,MERCH_29,Pune,22-12-2025 06:52,atm,2,25,0.9,1,0,0.074018306,LOW,NONE,APPROVED
TXN_00062,USER_025,1486.22,MERCH_26,Mumbai,20-12-2025 13:27,web,2,124,1.25,1,0,0.089324802,LOW,NONE,APPROVED
TXN_00063,USER_006,1351.16,MERCH_05,Pune,21-12-2025 09:11,web,3,121,0.76,1,0,0.097182572,LOW,NONE,APPROVED
TXN_00064,USER_116,765.83,MERCH_21,Chennai,21-12-2025 08:02,atm,1,95,0.81,0,0,0.162360894,LOW,NONE,APPROVED
TXN_00065,USER_119,1958.06,MERCH_15,Pune,24-12-2025 07:33,web,1,3,0.62,0,0,0.145737662,LOW,NONE,APPROVED
TXN_00066,USER_014,3735.55,MERCH_28,Hyderabad,24-12-2025 11:14,mobile,4,122,1.23,0,0,0.178422207,LOW,NONE,APPROVED
TXN_00067,USER_105,3007.91,MERCH_10,Mumbai,21-12-2025 10:35,mobile,3,130,1.26,0,0,0.195784302,LOW,NONE,APPROVED
TXN_00068,USER_078,2630.13,MERCH_26,Chennai,23-12-2025 10:04,atm,1,84,1.01,0,0,0.183977816,LOW,NONE,APPROVED
TXN_00069,USER_097,1843.1,MERCH_21,Mumbai,21-12-2025 08:14,mobile,4,107,1.04,1,0,0.101460404,LOW,NONE,APPROVED
TXN_00070,USER_021,3778.38,MERCH_14,Mumbai,23-12-2025 06:56,web,3,29,1.1,0,0,0.168819048,LOW,NONE,APPROVED
TXN_00071,USER_013,1816.73,MERCH_40,Pune,23-12-2025 08:24,web,2,117,0.93,0,0,0.197019938,LOW,NONE,APPROVED
TXN_00072,USER_115,3213.38,MERCH_19,Pune,24-12-2025 08:47,atm,1,140,1.22,0,0,0.172113415,LOW,NONE,APPROVED
TXN_00073,USER_038,1484.15,MERCH_16,Bengaluru,24-12-2025 08:54,atm,3,71,0.76,0,0,0.19355869,LOW,NONE,APPROVED
TXN_00074,USER_024,1362.17,MERCH_26,Hyderabad,22-12-2025 08:32,atm,2,42,0.86,0,0,0.189048646,LOW,NONE,APPROVED
TXN_00075,USER_033,2558.44,MERCH_03,Kolkata,22-12-2025 08:39,atm,1,132,1.12,0,0,0.182272072,LOW,NONE,APPROVED
TXN_00076,USER_014,33776.52,MERCH_15,Hyderabad,24-12-2025 12:16,mobile,5,62,11.14,0,0,-0.121019094,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST",FLAGGED
TXN_00077,USER_016,11423.67,MERCH_17,Mumbai,20-12-2025 09:02,mobile,6,152,8.14,0,1,-0.095554304,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, GEO_MISMATCH",FLAGGED
TXN_00078,USER_100,760.67,MERCH_22,Chennai,23-12-2025 06:31,atm,2,4,0.63,1,0,0.042603315,LOW,NONE,APPROVED
TXN_00079,USER_019,25307.57,MERCH_27,Kolkata,24-12-2025 06:39,mobile,5,12,10.73,0,1,-0.129963624,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, GEO_MISMATCH",FLAGGED
TXN_00080,USER_087,1160.05,MERCH_32,Chennai,23-12-2025 10:39,web,2,161,0.63,0,0,0.174373464,LOW,NONE,APPROVED
TXN_00081,USER_071,1071.12,MERCH_06,Mumbai,22-12-2025 10:16,web,2,107,1.11,1,0,0.099250523,LOW,NONE,APPROVED
TXN_00082,USER_084,3260.09,MERCH_27,Hyderabad,22-12-2025 07:39,atm,3,72,1.13,0,0,0.187596067,LOW,NONE,APPROVED
TXN_00083,USER_007,892.65,MERCH_24,Kolkata,21-12-2025 10:23,atm,4,148,0.93,0,0,0.185205441,LOW,NONE,APPROVED
TXN_00084,USER_083,908.66,MERCH_11,Bengaluru,24-12-2025 10:20,mobile,1,106,0.95,0,0,0.17466956,LOW,NONE,APPROVED
TXN_00085,USER_055,1172.5,MERCH_11,Kolkata,22-12-2025 06:53,atm,3,26,0.97,0,0,0.175078655,LOW,NONE,APPROVED
TXN_00086,USER_017,23332.93,MERCH_24,Chennai,24-12-2025 15:54,web,9,167,9.36,0,0,-0.106858152,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST",FLAGGED
TXN_00087,USER_095,1578,MERCH_05,Delhi,24-12-2025 07:07,web,2,40,1.02,0,0,0.191017647,LOW,NONE,APPROVED
TXN_00088,USER_014,4186.18,MERCH_31,Hyderabad,24-12-2025 13:09,mobile,1,53,1.38,0,0,0.139158497,LOW,NONE,APPROVED
TXN_00089,USER_041,19188.3,MERCH_15,Hyderabad,21-12-2025 08:09,atm,6,102,9.48,0,1,-0.112795297,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, GEO_MISMATCH",FLAGGED
TXN_00090,USER_080,2153.7,MERCH_03,Mumbai,21-12-2025 07:20,web,2,53,1.05,0,0,0.195263829,LOW,NONE,APPROVED
TXN_00091,USER_052,805.04,MERCH_13,Pune,24-12-2025 07:10,web,1,43,0.72,0,0,0.153386039,LOW,NONE,APPROVED
TXN_00092,USER_006,1629.84,MERCH_30,Pune,21-12-2025 12:06,atm,1,175,0.91,1,0,0.090246565,LOW,NONE,APPROVED
TXN_00093,USER_071,1027.51,MERCH_28,Mumbai,22-12-2025 11:37,web,3,81,1.07,0,0,0.195661849,LOW,NONE,APPROVED
TXN_00094,USER_050,975.96,MERCH_40,Hyderabad,23-12-2025 12:30,web,2,117,0.62,0,0,0.165489514,LOW,NONE,APPROVED
TXN_00095,USER_063,3398.12,MERCH_31,Chennai,20-12-2025 08:24,atm,4,117,1.27,0,0,0.181528844,LOW,NONE,APPROVED
TXN_00096,USER_052,753.35,MERCH_29,Pune,24-12-2025 07:45,web,3,35,0.67,0,0,0.159557111,LOW,NONE,APPROVED
TXN_00097,USER_065,3164.62,MERCH_21,Mumbai,23-12-2025 06:40,mobile,1,13,1.34,1,0,0.056253151,LOW,NONE,APPROVED
TXN_00098,USER_100,749.47,MERCH_05,Chennai,23-12-2025 06:54,web,2,23,0.62,1,0,0.040787799,LOW,NONE,APPROVED
TXN_00099,USER_079,714.83,MERCH_11,Hyderabad,20-12-2025 06:58,web,4,31,0.83,0,0,0.153223097,LOW,NONE,APPROVED
TXN_00100,USER_088,2292.16,MERCH_40,Pune,20-12-2025 08:46,atm,3,59,0.73,1,0,0.103610893,LOW,NONE,APPROVED
TXN_00101,USER_036,1455.77,MERCH_40,Bengaluru,21-12-2025 08:26,atm,2,119,1.07,1,0,0.092709648,LOW,NONE,APPROVED
TXN_00102,USER_065,1724.57,MERCH_18,Mumbai,23-12-2025 08:18,web,4,98,0.73,1,0,0.091960011,LOW,NONE,APPROVED
TXN_00103,USER_087,1284.17,MERCH_34,Chennai,23-12-2025 12:18,web,3,99,0.69,0,0,0.192636224,LOW,NONE,APPROVED
TXN_00104,USER_007,998.83,MERCH_38,Kolkata,21-12-2025 11:58,atm,4,95,1.04,0,0,0.18955563,LOW,NONE,APPROVED
TXN_00105,USER_089,1211.25,MERCH_24,Kolkata,22-12-2025 07:57,web,4,29,1.19,0,0,0.180656849,LOW,NONE,APPROVED
TXN_00106,USER_034,838.32,MERCH_06,Delhi,20-12-2025 08:58,mobile,3,97,0.86,0,0,0.184625503,LOW,NONE,APPROVED
TXN_00107,USER_057,758.3,MERCH_34,Pune,20-12-2025 09:07,web,1,160,0.84,0,0,0.165892088,LOW,NONE,APPROVED
TXN_00108,USER_033,2703.77,MERCH_03,Kolkata,22-12-2025 11:11,atm,3,152,1.19,0,0,0.199732198,LOW,NONE,APPROVED
TXN_00109,USER_029,1301.02,MERCH_04,Pune,20-12-2025 09:07,web,4,160,1.01,0,0,0.193539593,LOW,NONE,APPROVED
TXN_00110,USER_017,1604.97,MERCH_37,Chennai,24-12-2025 18:33,web,1,159,0.64,0,0,0.150522789,LOW,NONE,APPROVED
TXN_00111,USER_046,2187.77,MERCH_20,Pune,24-12-2025 08:43,web,2,136,0.93,0,0,0.197403708,LOW,NONE,APPROVED
TXN_00112,USER_076,1140.07,MERCH_01,Delhi,21-12-2025 08:03,mobile,4,96,0.73,0,0,0.182146955,LOW,NONE,APPROVED
TXN_00113,USER_120,3280.9,MERCH_18,Chennai,23-12-2025 07:08,web,1,41,1.11,0,0,0.166581304,LOW,NONE,APPROVED
TXN_00114,USER_052,1209.96,MERCH_34,Pune,24-12-2025 07:50,atm,4,5,1.08,1,0,0.081494827,LOW,NONE,APPROVED
TXN_00115,USER_094,2033.86,MERCH_02,Delhi,23-12-2025 08:03,mobile,1,45,0.65,0,0,0.160430403,LOW,NONE,APPROVED
TXN_00116,USER_052,1219.59,MERCH_13,Pune,24-12-2025 08:33,mobile,1,43,1.09,1,0,0.076698768,LOW,NONE,APPROVED
TXN_00117,USER_019,2949.38,MERCH_12,Kolkata,24-12-2025 08:54,mobile,4,135,1.25,0,0,0.188698284,LOW,NONE,APPROVED
TXN_00118,USER_066,2381.86,MERCH_01,Kolkata,22-12-2025 07:46,mobile,4,79,1.17,0,0,0.195456768,LOW,NONE,APPROVED
TXN_00119,USER_049,2162.31,MERCH_07,Mumbai,21-12-2025 08:29,atm,2,122,0.78,1,0,0.100355208,LOW,NONE,APPROVED
TXN_00120,USER_034,788.02,MERCH_36,Delhi,20-12-2025 09:10,atm,1,12,0.81,1,0,0.063641457,LOW,NONE,APPROVED
TXN_00121,USER_087,2066.36,MERCH_14,Chennai,23-12-2025 14:34,web,3,136,1.11,0,0,0.20616631,LOW,NONE,APPROVED
TXN_00122,USER_011,1258.87,MERCH_13,Kolkata,23-12-2025 07:07,web,2,6,1.27,0,0,0.171425749,LOW,NONE,APPROVED
TXN_00123,USER_021,2964.63,MERCH_16,Mumbai,23-12-2025 08:22,web,4,86,0.86,0,0,0.188678635,LOW,NONE,APPROVED
TXN_00124,USER_049,2707.78,MERCH_34,Mumbai,21-12-2025 11:13,atm,4,164,0.98,0,0,0.196162589,LOW,NONE,APPROVED
TXN_00125,USER_090,21183.61,MERCH_26,Kolkata,21-12-2025 06:27,mobile,7,0,10.52,0,0,-0.11855232,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, VELOCITY_ATTACK",FLAGGED
TXN_00126,USER_080,1281.83,MERCH_08,Mumbai,21-12-2025 09:47,web,2,147,0.63,0,0,0.178870369,LOW,NONE,APPROVED
TXN_00127,USER_014,3519.5,MERCH_02,Hyderabad,24-12-2025 13:53,mobile,2,44,1.16,0,0,0.186828644,LOW,NONE,APPROVED
TXN_00128,USER_006,2125.94,MERCH_05,Pune,21-12-2025 14:53,atm,1,167,1.19,0,0,0.18353091,LOW,NONE,APPROVED
TXN_00129,USER_110,3036.64,MERCH_25,Chennai,23-12-2025 10:00,web,1,96,1.3,0,0,0.175093733,LOW,NONE,APPROVED
TXN_00130,USER_014,3821.1,MERCH_19,Hyderabad,24-12-2025 14:48,web,1,55,1.26,1,0,0.062649627,LOW,NONE,APPROVED
TXN_00131,USER_062,1376.28,MERCH_22,Delhi,22-12-2025 06:55,atm,2,28,0.84,0,0,0.167107689,LOW,NONE,APPROVED
TXN_00132,USER_055,773.09,MERCH_24,Kolkata,22-12-2025 08:25,atm,3,92,0.64,0,0,0.167356102,LOW,NONE,APPROVED
TXN_00133,USER_117,3534.24,MERCH_02,Chennai,21-12-2025 09:04,mobile,3,157,1.09,0,0,0.190245625,LOW,NONE,APPROVED
TXN_00134,USER_101,1119.41,MERCH_04,Pune,21-12-2025 08:21,atm,1,114,0.88,0,0,0.17379041,LOW,NONE,APPROVED
TXN_00135,USER_069,1531.55,MERCH_01,Delhi,20-12-2025 06:53,mobile,3,26,0.74,0,0,0.173126296,LOW,NONE,APPROVED
TXN_00136,USER_068,3327.81,MERCH_12,Kolkata,20-12-2025 07:35,atm,1,16,0.99,1,0,0.064840584,LOW,NONE,APPROVED
TXN_00137,USER_064,1988.73,MERCH_14,Chennai,22-12-2025 11:48,web,2,134,0.83,0,0,0.201842409,LOW,NONE,APPROVED
TXN_00138,USER_090,2476.42,MERCH_36,Kolkata,21-12-2025 07:12,web,4,45,1.23,1,0,0.093858631,LOW,NONE,APPROVED
TXN_00139,USER_101,1713.13,MERCH_06,Pune,21-12-2025 09:47,atm,4,86,1.34,0,0,0.190053363,LOW,NONE,APPROVED
TXN_00140,USER_055,981.06,MERCH_35,Kolkata,22-12-2025 08:34,atm,3,9,0.81,0,0,0.186502594,LOW,NONE,APPROVED
TXN_00141,USER_065,1659.56,MERCH_39,Mumbai,23-12-2025 11:02,web,4,164,0.7,0,0,0.185636377,LOW,NONE,APPROVED
TXN_00142,USER_097,1884.11,MERCH_34,Mumbai,21-12-2025 10:51,mobile,3,157,1.07,0,0,0.205899849,LOW,NONE,APPROVED
TXN_00143,USER_020,1376.41,MERCH_29,Mumbai,20-12-2025 08:25,atm,3,118,0.74,0,0,0.190911917,LOW,NONE,APPROVED
TXN_00144,USER_089,986.65,MERCH_16,Kolkata,22-12-2025 10:28,web,3,151,0.97,0,0,0.193167996,LOW,NONE,APPROVED
TXN_00145,USER_065,2788.4,MERCH_16,Mumbai,23-12-2025 12:22,web,2,80,1.18,0,0,0.198082406,LOW,NONE,APPROVED
TXN_00146,USER_093,2597.78,MERCH_13,Mumbai,24-12-2025 08:43,web,2,136,0.86,0,0,0.191414466,LOW,NONE,APPROVED
TXN_00147,USER_034,733.3,MERCH_10,Delhi,20-12-2025 09:39,atm,1,29,0.76,0,0,0.1596366,LOW,NONE,APPROVED
TXN_00148,USER_019,1621.07,MERCH_07,Kolkata,24-12-2025 10:13,mobile,2,79,0.69,0,0,0.186876,LOW,NONE,APPROVED
TXN_00149,USER_036,1246.54,MERCH_28,Bengaluru,21-12-2025 10:08,atm,1,102,0.92,0,0,0.180612581,LOW,NONE,APPROVED
TXN_00150,USER_089,725.98,MERCH_39,Kolkata,22-12-2025 13:12,web,1,164,0.71,0,0,0.148105337,LOW,NONE,APPROVED
TXN_00151,USER_095,1801.46,MERCH_38,Delhi,24-12-2025 08:12,web,4,65,1.16,0,0,0.19762483,LOW,NONE,APPROVED
TXN_00152,USER_096,2197.35,MERCH_08,Bengaluru,23-12-2025 09:48,web,2,61,1.14,0,0,0.200459361,LOW,NONE,APPROVED
TXN_00153,USER_059,3768.89,MERCH_16,Chennai,20-12-2025 07:36,mobile,1,69,1.32,0,0,0.150991365,LOW,NONE,APPROVED
TXN_00154,USER_101,1258.18,MERCH_02,Pune,21-12-2025 12:31,atm,4,164,0.99,0,0,0.196282628,LOW,NONE,APPROVED
TXN_00155,USER_080,2692.47,MERCH_21,Mumbai,21-12-2025 12:02,web,2,135,1.32,0,0,0.194201262,LOW,NONE,APPROVED
TXN_00156,USER_100,12645.45,MERCH_13,Hyderabad,23-12-2025 07:24,web,10,30,10.47,0,1,-0.122314186,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST, GEO_MISMATCH",FLAGGED
TXN_00157,USER_067,3601.23,MERCH_33,Pune,23-12-2025 09:27,mobile,2,150,1.17,0,0,0.179341342,LOW,NONE,APPROVED
TXN_00158,USER_003,3052.88,MERCH_30,Mumbai,21-12-2025 08:04,atm,4,97,1.19,0,0,0.192292892,LOW,NONE,APPROVED
TXN_00159,USER_027,1932.19,MERCH_40,Hyderabad,24-12-2025 08:46,web,1,50,1.18,0,0,0.184309418,LOW,NONE,APPROVED
TXN_00160,USER_046,1526.24,MERCH_05,Pune,24-12-2025 09:50,web,4,67,0.65,0,0,0.180598936,LOW,NONE,APPROVED
TXN_00161,USER_054,3026.71,MERCH_07,Chennai,20-12-2025 09:10,web,3,163,1.06,0,0,0.198827191,LOW,NONE,APPROVED
TXN_00162,USER_029,1797.2,MERCH_26,Pune,20-12-2025 10:52,web,2,105,1.4,0,0,0.181846376,LOW,NONE,APPROVED
TXN_00163,USER_060,2928.47,MERCH_13,Delhi,22-12-2025 07:03,web,1,36,1.25,0,0,0.171982248,LOW,NONE,APPROVED
TXN_00164,USER_061,2792.06,MERCH_27,Chennai,24-12-2025 09:50,web,2,60,0.88,0,0,0.195402969,LOW,NONE,APPROVED
TXN_00165,USER_060,2074.42,MERCH_15,Delhi,22-12-2025 09:26,web,4,143,0.88,0,0,0.200326321,LOW,NONE,APPROVED
TXN_00166,USER_035,1098.39,MERCH_31,Mumbai,22-12-2025 09:25,web,4,178,1.14,0,0,0.18342279,LOW,NONE,APPROVED
TXN_00167,USER_001,1433.67,MERCH_32,Delhi,21-12-2025 11:19,atm,3,74,0.86,0,0,0.202517951,LOW,NONE,APPROVED
TXN_00168,USER_055,874.12,MERCH_20,Kolkata,22-12-2025 08:58,atm,3,24,0.72,0,0,0.1793176,LOW,NONE,APPROVED
TXN_00169,USER_110,2858.37,MERCH_09,Chennai,23-12-2025 10:24,web,3,24,1.23,0,0,0.199731911,LOW,NONE,APPROVED
TXN_00170,USER_068,2572.62,MERCH_05,Kolkata,20-12-2025 10:20,atm,1,165,0.77,0,0,0.170467295,LOW,NONE,APPROVED
TXN_00171,USER_084,2151.45,MERCH_29,Hyderabad,22-12-2025 10:17,mobile,2,158,0.75,1,0,0.101198223,LOW,NONE,APPROVED
TXN_00172,USER_045,1586.89,MERCH_39,Chennai,23-12-2025 07:23,web,2,56,1.09,0,0,0.190093799,LOW,NONE,APPROVED
TXN_00173,USER_101,966.92,MERCH_14,Pune,21-12-2025 14:54,atm,3,143,0.76,0,0,0.192252303,LOW,NONE,APPROVED
TXN_00174,USER_068,26581.51,MERCH_09,Kolkata,20-12-2025 13:14,atm,7,174,7.93,0,0,-0.093801384,HIGH,"HIGH_AMOUNT_SPIKE, RAPID_TXN_BURST",FLAGGED
TXN_00175,USER_061,3671.06,MERCH_16,Chennai,24-12-2025 10:07,web,2,17,1.16,0,0,0.181279424,LOW,NONE,APPROVED
TXN_00176,USER_064,1751.38,MERCH_21,Chennai,22-12-2025 14:24,web,1,156,0.73,0,0,0.181326962,LOW,NONE,APPROVED
TXN_00177,USER_060,2112.37,MERCH_27,Delhi,22-12-2025 11:36,web,4,130,0.9,0,0,0.204516185,LOW,NONE,APPROVED
